id;type;name;legalName;taxId;email;phone;mobile;contactName;notes;active;createdAt;updatedAt;deletedAt
a102abb5-a247-4f67-b34d-f7a45beb8386;BUSINESS;Empresa Demo LTDA;Empresa Demo Solu��es LTDA;12345678000199;contato@empresademo.com;1130000000;;Maria Gestora;;true;2026-04-10T01:56:47.923Z;2026-04-22T17:57:26.271Z;
b8fb9eef-144f-4be3-a364-085d76dc824e;BUSINESS;Cliente Demo 001;Cliente Demo 001 LTDA;88990011000001;cliente001@demo-oms.local;6599000001;;Gestor Demo;;true;2026-04-23T14:37:58.854Z;2026-04-23T14:37:58.854Z;
b49431e0-974b-42cb-846e-ba8d76f68379;BUSINESS;Cliente Demo 002;Cliente Demo 002 LTDA;88990011000002;cliente002@demo-oms.local;6599000002;;Gestor Demo;;true;2026-04-23T14:37:59.030Z;2026-04-23T14:37:59.030Z;
3b12522e-f5b3-4870-9b11-07aeb53de7c8;BUSINESS;Cliente Demo 003;Cliente Demo 003 LTDA;88990011000003;cliente003@demo-oms.local;6599000003;;Gestor Demo;;true;2026-04-23T14:37:59.088Z;2026-04-23T14:37:59.088Z;
2b91a649-ab95-4967-bfe9-25781476e0c3;BUSINESS;Cliente Demo 004;Cliente Demo 004 LTDA;88990011000004;cliente004@demo-oms.local;6599000004;;Gestor Demo;;true;2026-04-23T14:37:59.145Z;2026-04-23T14:37:59.145Z;
b01aa1ec-5054-41af-af07-1c7f46eeb5a7;BUSINESS;Cliente Demo 005;Cliente Demo 005 LTDA;88990011000005;cliente005@demo-oms.local;6599000005;;Gestor Demo;;true;2026-04-23T14:37:59.199Z;2026-04-23T14:37:59.199Z;
41f5db79-166d-4ff5-b353-a79fe5f695bd;BUSINESS;Cliente Integracao 1776955077770;Cliente Integracao 1776955077770 LTDA;77112233007770;integracao-1776955077770@demo.local;65999123456;;Responsavel Integracao;;true;2026-04-23T14:37:59.252Z;2026-04-23T14:37:59.252Z;
583a967b-6d4a-4b04-9139-c724c3f6a504;BUSINESS;Cliente Demo 006;Cliente Demo 006 LTDA;88990011000006;cliente006@demo-oms.local;6599000006;;Gestor Demo;;true;2026-04-23T14:37:59.260Z;2026-04-23T14:37:59.260Z;
821789dd-1713-41b8-925b-0127199c1419;BUSINESS;Cliente Demo 007;Cliente Demo 007 LTDA;88990011000007;cliente007@demo-oms.local;6599000007;;Gestor Demo;;true;2026-04-23T14:37:59.320Z;2026-04-23T14:37:59.320Z;
6a4ede61-911f-464c-961a-cea9b5e67f0b;BUSINESS;Cliente Demo 008;Cliente Demo 008 LTDA;88990011000008;cliente008@demo-oms.local;6599000008;;Gestor Demo;;true;2026-04-23T14:37:59.370Z;2026-04-23T14:37:59.370Z;
6b474e12-9bdb-4351-ad36-ee49ea5334d1;BUSINESS;Cliente Demo 009;Cliente Demo 009 LTDA;88990011000009;cliente009@demo-oms.local;6599000009;;Gestor Demo;;true;2026-04-23T14:37:59.423Z;2026-04-23T14:37:59.423Z;
